State,Population_2024,GDP_Crore,Cluster
Andaman and Nicobar Islands,404000,89.0,0
Andhra Pradesh,53402000,1450.0,1
Arunachal Pradesh,1580000,38.0,0
Assam,36159000,567.0,0
Bihar,129205000,859.0,1
Chandigarh,1247000,49.0,0
Chhattisgarh,30638000,509.0,0
Delhi,21884000,1040.0,0
Goa,1585000,100.0,0
Gujarat,72653000,2563.0,2
Haryana,30694000,1120.0,0
Himachal Pradesh,7518000,214.0,0
Jammu & Kashmir,13733000,230.0,0
Jharkhand,40129000,423.00000000000006,0
Karnataka,68256000,2570.0,2
Kerala,35967000,1130.0,0
Madhya Pradesh,87954000,1387.0,1
Maharashtra,127684000,3880.0,2
Manipur,3260000,45.0,0
Meghalaya,3387000,47.0,0
Mizoram,1252000,36.0,0
Nagaland,2258000,37.0,0
Odisha,46663000,865.0,0
Puducherry,1695000,39.0,0
Punjab,30992000,698.0,0
Rajasthan,82188000,1570.0,1
Sikkim,697000,47.0,0
Tamil Nadu,77165000,2830.0,2
Telangana,38317000,1400.0,0
Tripura,4194000,27.0,0
Uttar Pradesh,238875000,2439.0,1
Uttarakhand,11795000,333.0,0
West Bengal,99723000,1719.0000000000002,1
